source,destination,mode,distance,time_of_day,weather,traffic_level,travel_time
E,D,train,37,6,sunny,low,27.75
E,D,train,24,12,rainy,low,22.5
B,E,train,46,6,rainy,medium,47.92
E,A,truck,48,12,rainy,high,128.57
E,C,air,48,12,sunny,medium,5.33
A,C,train,43,18,foggy,high,76.79
B,A,air,42,6,foggy,medium,7.78
A,C,truck,47,12,foggy,high,167.86
E,D,truck,6,18,sunny,high,12.86
B,D,train,21,0,sunny,low,15.75
D,E,truck,41,0,foggy,medium,113.89
C,A,truck,13,18,foggy,low,32.5
E,A,truck,7,12,foggy,low,17.5
B,E,air,34,0,foggy,high,8.1
D,A,truck,16,0,foggy,high,57.14
D,E,truck,21,18,foggy,high,75.0
B,E,truck,25,0,sunny,high,53.57
D,A,air,13,6,sunny,high,1.86
D,E,truck,30,6,sunny,medium,50.0
E,B,air,23,12,foggy,medium,4.26
C,A,truck,31,18,sunny,low,46.5
C,D,train,40,12,foggy,low,50.0
A,C,train,39,18,rainy,low,36.56
A,C,truck,36,12,rainy,low,67.5
C,A,train,50,0,rainy,medium,52.08
C,B,truck,10,18,rainy,high,26.79
B,E,truck,50,6,rainy,low,93.75
D,A,train,47,12,rainy,high,62.95
A,D,air,32,18,sunny,low,3.2
B,D,air,16,12,sunny,low,1.6
B,C,train,17,6,rainy,low,15.94
A,D,air,30,0,foggy,low,5.0
B,C,truck,30,6,sunny,low,45.0
B,E,air,9,6,rainy,medium,1.25
E,A,air,16,18,foggy,low,2.67
D,A,train,24,0,sunny,high,25.71
B,E,train,24,6,foggy,medium,33.33
E,C,train,46,6,rainy,high,61.61
A,D,train,34,12,foggy,high,60.71
B,A,air,39,6,foggy,low,6.5
C,E,train,50,0,rainy,high,66.96
B,A,train,18,0,sunny,medium,15.0
C,D,air,49,6,foggy,medium,9.07
E,A,truck,36,12,rainy,high,96.43
E,A,air,17,18,sunny,high,2.43
E,B,air,35,0,foggy,medium,6.48
C,E,truck,17,12,sunny,high,36.43
C,B,air,35,0,sunny,low,3.5
C,D,train,10,18,foggy,medium,13.89
E,B,train,29,18,rainy,low,27.19
D,A,air,46,6,foggy,low,7.67
A,E,air,17,0,rainy,high,3.04
B,C,train,36,12,sunny,medium,30.0
B,D,train,18,0,rainy,medium,18.75
A,D,train,46,0,rainy,low,43.12
C,E,train,24,18,sunny,medium,20.0
D,A,truck,43,12,foggy,high,153.57
C,B,truck,45,18,rainy,medium,93.75
A,D,air,11,0,sunny,high,1.57
A,B,air,34,18,rainy,high,6.07
C,A,air,14,0,rainy,high,2.5
D,E,truck,27,18,sunny,low,40.5
B,A,air,25,6,rainy,low,3.12
C,B,train,36,6,foggy,high,64.29
A,C,truck,47,12,sunny,medium,78.33
C,E,truck,6,18,rainy,low,11.25
D,A,truck,38,18,foggy,low,95.0
B,C,air,7,12,foggy,medium,1.3
A,B,train,13,0,sunny,medium,10.83
D,C,train,25,6,foggy,medium,34.72
B,A,truck,46,18,sunny,low,69.0
A,B,train,45,6,foggy,high,80.36
D,B,air,21,12,rainy,medium,2.92
A,B,train,32,6,sunny,low,24.0
E,D,train,14,6,foggy,high,25.0
C,A,air,40,18,foggy,medium,7.41
C,E,air,30,12,rainy,medium,4.17
E,D,air,48,18,foggy,high,11.43
